Census year,Block ID,CLUE_small_area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total_establishments_in_block
2013,423,West Melbourne (Residential),0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,3,0,0,12
2013,424,West Melbourne (Residential),0,1,0,0,1,0,0,0,0,4,3,0,0,4,0,0,0,1,1,0,15
2013,425,West Melbourne (Residential),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
2013,426,West Melbourne (Residential),0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,2,0,2,1,1,14
2013,427,West Melbourne (Residential),0,0,0,0,2,1,0,0,0,3,0,0,0,4,0,0,0,2,0,4,16
2013,428,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,7
2013,429,West Melbourne (Residential),0,0,0,1,5,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,12
2013,430,West Melbourne (Residential),0,0,0,0,2,0,0,0,0,4,2,0,1,1,0,0,0,1,0,1,12
2013,431,West Melbourne (Residential),0,1,0,0,6,0,0,1,0,0,1,0,3,3,0,0,0,2,3,3,23
2013,432,West Melbourne (Residential),0,0,0,1,1,0,3,0,0,3,0,0,0,1,0,0,0,0,3,0,12
2013,433,West Melbourne (Residential),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2013,434,West Melbourne (Residential),0,1,0,0,9,3,1,0,3,4,0,1,0,4,0,1,0,5,1,0,33
2013,435,West Melbourne (Residential),0,0,0,0,2,0,0,0,0,8,1,2,0,2,0,0,0,13,0,0,28
2013,436,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,437,West Melbourne (Residential),0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,6
2013,438,West Melbourne (Residential),1,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,10
2013,439,West Melbourne (Residential),0,0,0,0,6,0,1,1,3,1,0,0,1,3,0,0,0,0,1,2,19
2013,440,West Melbourne (Residential),0,1,0,1,7,1,1,0,0,1,2,0,3,2,1,1,0,1,1,1,24
2013,441,West Melbourne (Residential),1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,6
2013,442,West Melbourne (Residential),0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
2013,443,West Melbourne (Residential),1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,6
2013,444,West Melbourne (Residential),0,2,0,0,6,1,2,0,3,1,0,0,0,2,1,0,0,0,0,2,20
2013,445,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2013,501,West Melbourne (Industrial),0,0,0,2,1,0,0,1,0,0,0,0,3,1,1,0,0,0,1,7,17
2013,502,West Melbourne (Industrial),0,0,0,0,1,0,0,3,0,1,0,1,1,0,0,0,0,1,5,19,32
2013,503,Kensington,0,1,0,1,2,14,0,0,0,0,0,0,7,3,2,0,1,0,1,13,45
2013,504,Kensington,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,7
2013,505,Kensington,0,0,0,0,1,2,0,0,0,1,0,1,1,3,0,0,0,1,1,2,13
2013,506,North Melbourne,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4
2013,507,Kensington,0,0,0,1,1,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,9
2013,508,Kensington,0,0,0,1,4,0,1,0,0,0,0,0,3,0,1,0,0,1,0,4,15
2013,509,Kensington,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,9
2013,510,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,511,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2013,512,Kensington,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,4
2013,513,Kensington,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,5
2013,514,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,515,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,518,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,519,Kensington,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7
2013,520,Kensington,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
2013,521,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,522,Kensington,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2013,523,Kensington,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,2,0,0,7
2013,524,Kensington,0,1,0,1,0,0,0,0,0,3,2,0,0,2,0,1,0,1,1,1,13
2013,525,Kensington,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3
2013,526,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2013,527,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,528,Kensington,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2013,529,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,530,Kensington,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2013,531,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,532,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,533,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,534,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,535,Kensington,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,537,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,538,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,539,Kensington,0,0,0,4,1,1,0,0,0,0,0,0,3,1,0,0,1,0,1,0,12
2013,540,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,541,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,542,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,543,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,544,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,545,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,546,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,547,Kensington,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2013,548,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,549,Kensington,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2013,550,Kensington,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2013,551,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,552,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,553,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,554,Kensington,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2013,555,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,556,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,557,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,558,Kensington,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2013,559,Kensington,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,3,0,0,8
2013,560,Kensington,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
2013,561,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,562,Kensington,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2013,563,Kensington,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2013,564,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,565,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,566,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,567,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,568,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,569,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,570,Kensington,1,0,2,19,1,0,1,0,0,1,0,2,0,3,0,0,0,0,0,0,30
2013,571,Kensington,0,0,0,2,0,0,0,0,1,5,3,1,1,3,0,2,0,12,1,0,31
2013,601,East Melbourne,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4
2013,602,East Melbourne,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,603,East Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
2013,604,East Melbourne,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
2013,605,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2013,606,East Melbourne,4,1,0,0,2,1,1,0,4,2,5,0,1,2,0,0,1,0,0,1,25
2013,607,East Melbourne,2,2,1,0,6,1,0,3,2,7,7,0,1,3,0,0,0,3,1,1,40
2013,608,East Melbourne,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
2013,609,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,610,East Melbourne,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
2013,611,East Melbourne,0,0,0,2,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,7
2013,612,East Melbourne,2,0,0,0,2,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,9
2013,613,East Melbourne,6,0,0,1,4,0,0,0,0,5,18,0,0,5,0,3,0,4,0,0,46
2013,614,East Melbourne,2,0,0,0,1,0,0,0,0,1,6,0,0,2,0,0,0,1,0,0,13
2013,615,East Melbourne,0,0,0,0,0,0,0,0,0,1,66,0,0,0,0,0,0,0,0,0,67
2013,616,East Melbourne,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2013,617,East Melbourne,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4
2013,618,East Melbourne,1,1,0,0,10,2,0,1,0,4,2,0,0,0,0,0,0,2,0,0,23
2013,619,East Melbourne,0,2,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8
2013,620,East Melbourne,0,0,0,0,2,0,2,0,0,2,36,0,0,3,1,0,0,1,0,0,47
2013,621,East Melbourne,0,2,0,2,11,0,4,0,5,4,10,1,1,5,3,1,0,0,0,2,51
2013,642,East Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2013,643,East Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,644,East Melbourne,1,0,0,1,15,0,1,0,4,5,33,0,2,6,2,1,0,0,0,0,71
2013,645,East Melbourne,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,6
2013,646,East Melbourne,0,3,0,2,15,0,1,0,1,2,25,1,0,6,0,0,0,0,0,1,57
2013,649,East Melbourne,0,1,0,2,2,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,11
2013,650,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2013,651,East Melbourne,2,0,0,1,2,0,0,0,0,3,4,0,0,3,0,0,0,0,0,0,15
2013,652,East Melbourne,0,0,0,2,0,0,3,0,0,1,0,0,0,1,8,0,0,0,0,0,15
2013,653,East Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2013,654,South Yarra/Melbourne Remainder,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2013,655,East Melbourne,1,0,0,2,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,10
2013,656,East Melbourne,2,3,0,4,13,3,0,1,7,1,1,1,0,3,1,1,0,0,0,1,42
2013,657,East Melbourne,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2013,658,East Melbourne,0,1,0,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,12
2013,659,South Yarra/Melbourne Remainder,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,10
2013,660,South Yarra/Melbourne Remainder,0,1,0,10,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,17
2013,661,East Melbourne,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2013,662,East Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2013,663,South Yarra/Melbourne Remainder,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2013,710,South Yarra/Melbourne Remainder,1,0,0,0,0,0,1,0,1,7,2,0,0,1,0,0,0,4,1,0,18
2013,720,South Yarra/Melbourne Remainder,0,2,0,2,13,1,2,0,10,4,3,3,8,5,0,3,0,3,0,4,63
2013,724,South Yarra/Melbourne Remainder,0,4,0,1,5,0,0,0,1,13,5,0,0,1,2,0,0,2,1,0,35
2013,728,Southbank,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2013,729,Southbank,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,2,0,1,10
2013,730,Southbank,1,1,0,0,0,0,0,0,1,1,0,1,1,4,0,0,0,1,1,1,13
2013,731,Southbank,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2013,732,Southbank,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,3,1,0,0,10
2013,733,Southbank,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
2013,734,Southbank,1,1,0,0,5,4,0,2,2,0,1,0,0,1,2,2,2,1,0,2,26
2013,735,Southbank,0,1,0,0,2,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,9
2013,736,Southbank,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,5
2013,737,Southbank,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
2013,738,Southbank,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,5
2013,739,Southbank,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5
2013,740,Southbank,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3
2013,741,Southbank,0,0,0,12,4,0,1,1,1,2,1,1,0,1,0,0,0,2,0,0,26
2013,742,Southbank,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,5
2013,743,Southbank,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,744,Southbank,0,0,0,1,9,0,0,1,2,1,0,0,1,0,0,0,0,0,2,0,17
2013,745,Southbank,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2013,746,Southbank,0,0,1,2,19,4,1,1,4,2,3,7,2,0,0,0,0,2,0,6,54
2013,747,Southbank,0,0,0,0,4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,9
2013,748,Southbank,1,1,0,0,14,4,2,1,1,4,0,0,0,1,0,2,0,4,1,2,38
2013,749,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2013,750,Southbank,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2013,751,Southbank,0,0,0,0,0,0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,7
2013,752,Southbank,0,0,0,3,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,14
2013,753,Southbank,2,4,2,1,15,0,0,1,5,40,3,2,2,8,1,2,0,16,5,0,109
2013,759,South Yarra/Melbourne Remainder,0,3,0,1,14,3,0,0,5,3,0,2,1,3,2,2,0,0,0,1,40
2013,760,South Yarra/Melbourne Remainder,0,12,1,0,40,4,2,0,23,4,51,6,4,12,3,5,1,2,4,4,178
2013,771,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,772,Docklands,0,0,0,0,6,4,0,0,2,0,0,0,3,0,1,2,0,1,2,2,23
2013,773,Docklands,0,3,1,2,2,2,0,1,0,5,0,0,0,5,0,3,0,2,2,0,28
2013,774,Port Melbourne,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,0,0,6
2013,775,Port Melbourne,0,1,0,0,2,4,0,0,1,0,1,1,6,1,1,0,1,0,2,6,27
2013,776,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2013,777,Port Melbourne,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2013,778,Port Melbourne,0,0,0,0,5,1,1,1,0,0,0,4,4,1,0,0,1,1,1,12,32
2013,779,Port Melbourne,0,0,0,0,3,2,0,2,0,1,0,0,3,0,0,0,0,0,2,0,13
2013,780,Port Melbourne,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
2013,781,Port Melbourne,1,3,0,3,25,12,0,0,4,3,3,1,17,2,1,4,1,8,10,13,111
2013,782,Port Melbourne,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,1,2,9
2013,783,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4
2013,784,Port Melbourne,0,4,0,0,13,3,0,0,3,1,1,4,7,0,4,0,0,2,1,13,56
2013,785,Port Melbourne,0,1,0,0,3,3,1,0,1,2,0,0,3,1,0,0,0,1,8,1,25
2013,786,Port Melbourne,0,0,2,5,5,6,0,0,0,7,0,1,19,5,1,0,2,5,2,6,66
2013,787,Port Melbourne,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3
2013,788,Port Melbourne,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
2013,789,Port Melbourne,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2013,790,Port Melbourne,0,3,0,1,11,23,5,2,4,2,0,3,18,2,0,1,4,3,7,25,114
2013,791,Port Melbourne,1,1,0,0,3,1,0,0,0,1,0,0,8,1,0,0,0,0,2,3,21
2013,792,Port Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,793,Port Melbourne,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,794,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,795,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
2013,801,Southbank,1,4,1,2,20,4,1,0,5,11,1,3,0,3,2,1,0,5,2,0,66
2013,802,Southbank,0,4,3,1,14,5,2,2,5,19,2,0,5,5,0,3,0,7,0,0,77
2013,803,Southbank,1,1,0,3,0,0,0,0,0,40,0,1,0,1,0,0,0,17,0,0,64
2013,804,Southbank,1,3,0,3,5,1,0,1,1,29,2,1,0,6,0,5,0,150,1,3,212
2013,806,Southbank,1,0,0,3,0,1,1,0,0,4,0,0,0,2,0,0,0,15,0,0,27
2013,807,Southbank,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,5
2013,808,Southbank,0,1,0,1,5,2,1,2,0,4,0,1,0,0,0,4,0,7,2,1,31
2013,809,Southbank,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3
2013,810,Southbank,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,6
2013,811,Southbank,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
2013,812,Southbank,2,2,0,1,17,4,2,0,1,6,4,2,0,2,0,3,0,2,0,5,53
2013,813,Southbank,0,0,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,7
2013,814,Southbank,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
2013,815,Southbank,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,2,0,0,8
2013,849,South Yarra/Melbourne Remainder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,850,South Yarra/Melbourne Remainder,0,0,0,11,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,14
2013,851,South Yarra/Melbourne Remainder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,852,South Yarra/Melbourne Remainder,0,0,0,11,0,1,0,1,0,4,0,0,0,4,0,0,0,2,0,0,23
2013,853,South Yarra/Melbourne Remainder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,854,South Yarra/Melbourne Remainder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,855,South Yarra/Melbourne Remainder,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2013,856,South Yarra/Melbourne Remainder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,857,South Yarra/Melbourne Remainder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2013,858,South Yarra/Melbourne Remainder,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
2013,859,South Yarra/Melbourne Remainder,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2013,860,South Yarra/Melbourne Remainder,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,861,South Yarra/Melbourne Remainder,2,0,0,1,0,0,3,1,0,6,0,0,0,1,0,0,0,5,0,0,19
2013,862,South Yarra/Melbourne Remainder,2,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,7
2013,863,South Yarra/Melbourne Remainder,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,864,South Yarra/Melbourne Remainder,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4
2013,865,South Yarra/Melbourne Remainder,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,866,South Yarra/Melbourne Remainder,0,1,0,2,0,0,2,2,0,1,2,0,0,1,0,0,0,0,0,0,11
2013,867,South Yarra/Melbourne Remainder,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2013,868,South Yarra/Melbourne Remainder,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2013,869,South Yarra/Melbourne Remainder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,870,South Yarra/Melbourne Remainder,0,0,0,0,5,0,1,0,0,2,3,0,0,2,0,0,0,4,0,0,17
2013,871,South Yarra/Melbourne Remainder,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2013,901,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,902,Parkville,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5
2013,903,Parkville,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
2013,904,Parkville,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5
2013,905,Parkville,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2013,906,Parkville,1,0,0,0,9,1,2,0,3,3,0,1,3,2,2,0,0,1,1,0,29
2013,907,Parkville,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,908,Parkville,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2013,909,Parkville,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2013,910,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2013,911,Parkville,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2013,912,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,913,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,914,Parkville,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
2013,915,Parkville,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4
2013,916,Parkville,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2013,917,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,918,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,919,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,920,Parkville,0,0,0,0,2,0,0,0,1,5,61,0,0,3,0,0,0,6,1,0,79
2013,921,Parkville,0,0,0,0,6,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,16
2013,922,Parkville,0,0,0,1,0,0,0,1,0,0,2,0,0,8,0,0,0,0,0,0,12
2013,923,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2013,924,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
